"Missingness","CensorRate","SampleSize","Criterion","Model","b1","b2","b3","b4","b5","d11","d21","d22","sigma11","sigma21","sigma22"
"MAR","10%",25,"CP","M",0.97,0.45,0.69,0.88,0.95,0.92,0.86,0.85,0.23,1,0.01
"MAR","10%",25,"CP","CM",0.91,0.96,0.89,0.95,0.93,0.9,0.93,0.93,0.95,0.99,0.94
"MAR","10%",25,"Length","M",0.7742,4.681,4.8386,0.9391,0.0108,1.1547,0.8467,1.1241,1.3654,1.1684,1.875
"MAR","10%",25,"Length","CM",0.7393,3.2155,2.9013,0.8577,0.0079,1.1229,0.8423,1.1517,0.5195,0.4459,0.6137
"MAR","10%",50,"CP","M",0.9,0.07,0.12,0.92,0.97,0.83,0.88,0.85,0,0.96,0
"MAR","10%",50,"CP","CM",0.91,0.95,0.91,0.92,0.95,0.89,0.86,0.94,0.94,0.99,0.94
"MAR","10%",50,"Length","M",0.5411,3.1974,3.2548,0.6635,0.0075,0.7948,0.5824,0.8015,0.8114,0.7244,1.191
"MAR","10%",50,"Length","CM",0.5412,2.2029,1.9414,0.5954,0.0054,0.8291,0.6007,0.7967,0.3312,0.2788,0.3592
"MAR","10%",75,"CP","M",0.94,0.03,0.07,0.91,0.98,0.9,0.94,0.9,0,0.82,0
"MAR","10%",75,"CP","CM",0.94,0.94,0.89,0.92,0.97,0.91,0.92,0.94,0.95,0.97,0.89
"MAR","10%",75,"Length","M",0.4532,2.5641,2.5871,0.5531,0.0061,0.6881,0.5086,0.6987,0.6277,0.5705,0.9425
"MAR","10%",75,"Length","CM",0.4542,1.7648,1.5441,0.5009,0.0043,0.7255,0.5187,0.6963,0.2576,0.2205,0.2795
"MAR","10%",100,"CP","M",0.9,0,0.01,0.89,0.95,0.84,0.9,0.93,0.01,0.65,0
"MAR","10%",100,"CP","CM",0.89,0.95,0.88,0.95,0.9,0.87,0.92,0.95,0.94,0.95,0.92
"MAR","10%",100,"Length","M",0.3923,2.1824,2.2111,0.4751,0.0052,0.5907,0.4389,0.5912,0.5223,0.4754,0.7875
"MAR","10%",100,"Length","CM",0.3885,1.5033,1.3356,0.4288,0.0038,0.6152,0.4458,0.5882,0.2136,0.1847,0.2328
"MAR","30%",25,"CP","M",0.85,0.46,0.59,0.95,0.95,0.57,0.86,0.87,0.97,1,0.01
"MAR","30%",25,"CP","CM",0.92,0.93,0.93,0.94,0.96,0.9,0.89,0.93,0.95,0.98,0.91
"MAR","30%",25,"Length","M",1.2962,54.3634,48.0998,1.0376,0.0139,0.9156,0.7473,1.1463,3.5308,1.2912,1.9453
"MAR","30%",25,"Length","CM",0.7576,4.606,4.3966,0.8577,0.0082,1.1597,0.8512,1.1661,0.5898,0.4621,0.6016
"MAR","30%",50,"CP","M",0.76,0,0,0.9,0.99,0.53,0.87,0.84,0.46,1,0
"MAR","30%",50,"CP","CM",0.94,0.94,0.9,0.92,0.93,0.85,0.89,0.95,0.95,1,0.93
"MAR","30%",50,"Length","M",0.5053,4.8584,5.6002,0.6711,0.0078,0.6609,0.5338,0.8224,0.7056,0.6859,1.2045
"MAR","30%",50,"Length","CM",0.5488,2.5466,2.4678,0.5981,0.0055,0.8311,0.601,0.8046,0.3495,0.2826,0.3552
"MAR","30%",75,"CP","M",0.86,0,0,0.93,0.95,0.66,0.94,0.93,0.14,1,0
"MAR","30%",75,"CP","CM",0.97,0.94,0.86,0.88,0.96,0.9,0.92,0.94,0.96,0.98,0.91
"MAR","30%",75,"Length","M",0.4294,3.7655,4.3168,0.564,0.0064,0.5785,0.4752,0.7031,0.5597,0.5515,0.9758
"MAR","30%",75,"Length","CM",0.4567,2.0356,1.9304,0.497,0.0045,0.7312,0.5203,0.705,0.2677,0.2266,0.2842
"MAR","30%",100,"CP","M",0.83,0,0,0.89,0.9,0.51,0.89,0.92,0.08,0.92,0
"MAR","30%",100,"CP","CM",0.9,0.93,0.91,0.95,0.95,0.87,0.9,0.94,0.94,0.92,0.91
"MAR","30%",100,"Length","M",0.3669,3.2678,3.7637,0.4827,0.0055,0.4978,0.405,0.5981,0.4516,0.4493,0.805
"MAR","30%",100,"Length","CM",0.3872,1.7517,1.6777,0.4296,0.0038,0.6259,0.4463,0.5937,0.2239,0.1868,0.2306
"MAR","50%",25,"CP","M",0.39,0.74,0.74,0.94,0.98,0.2,0.7,0.86,0.87,0.95,0
"MAR","50%",25,"CP","CM",0.83,0.96,0.92,0.84,0.86,0.81,0.91,0.92,0.95,0.95,0.97
"MAR","50%",25,"Length","M",1.2631,219.6428,122.5253,1.2199,0.0182,0.7316,0.6351,1.1066,7.077,1.4842,1.9904
"MAR","50%",25,"Length","CM",0.8597,16.2501,12.5405,0.9067,0.0095,1.3393,0.8848,1.1085,1.5205,0.6683,0.6476
"MAR","50%",50,"CP","M",0.01,0.65,0.66,0.95,0.94,0.21,0.74,0.95,0.74,0.99,0
"MAR","50%",50,"CP","CM",0.98,0.9,0.92,0.96,0.97,0.92,0.96,0.97,0.97,0.98,0.96
"MAR","50%",50,"Length","M",1.0741,195.399,110.2954,0.9572,0.0147,0.5958,0.4853,0.8291,3.5419,0.9412,1.2747
"MAR","50%",50,"Length","CM",0.5731,9.3203,6.8118,0.652,0.0062,0.9581,0.6375,0.8478,0.5264,0.341,0.3805
"MAR","50%",75,"CP","M",0.02,0.41,0.41,0.94,0.96,0.03,0.56,0.83,0.53,0.81,0
"MAR","50%",75,"CP","CM",0.92,0.92,0.9,0.9,0.91,0.93,0.87,0.89,0.97,0.96,0.87
"MAR","50%",75,"Length","M",0.6996,120.0141,67.8056,0.719,0.0101,0.3615,0.3357,0.6935,1.4229,0.5695,1.0238
"MAR","50%",75,"Length","CM",0.4646,5.3152,4.3463,0.5027,0.0048,0.7848,0.5171,0.6675,0.3702,0.2575,0.2821
"MAR","50%",100,"CP","M",0,0.18,0.18,0.97,0.99,0.01,0.6,0.91,0.18,0.45,0
"MAR","50%",100,"CP","CM",0.91,0.93,0.94,0.93,0.93,0.87,0.91,0.95,0.93,0.94,0.92
"MAR","50%",100,"Length","M",0.4279,61.1742,35.4758,0.5459,0.007,0.2432,0.2631,0.6059,0.6172,0.3844,0.839
"MAR","50%",100,"Length","CM",0.4188,7.4291,4.971,0.4693,0.0048,0.6933,0.45,0.5879,0.4193,0.2512,0.2471
"MCAR","10%",25,"CP","M",0.96,0.44,0.65,0.92,0.95,0.92,0.84,0.86,0.28,0.98,0.02
"MCAR","10%",25,"CP","CM",0.91,0.96,0.94,0.95,0.94,0.92,0.9,0.93,0.94,0.98,0.9
"MCAR","10%",25,"Length","M",0.7831,4.7129,4.8481,0.9398,0.0104,1.1484,0.8458,1.1422,1.3632,1.1772,1.8579
"MCAR","10%",25,"Length","CM",0.7416,3.2253,2.9196,0.8596,0.0078,1.1184,0.851,1.1645,0.526,0.452,0.5982
"MCAR","10%",50,"CP","M",0.9,0.07,0.16,0.93,1,0.83,0.91,0.87,0,0.91,0
"MCAR","10%",50,"CP","CM",0.93,0.94,0.92,0.94,0.96,0.91,0.91,0.93,0.95,1,0.95
"MCAR","10%",50,"Length","M",0.5331,3.22,3.2351,0.6528,0.0073,0.7842,0.5892,0.8023,0.8065,0.7091,1.1304
"MCAR","10%",50,"Length","CM",0.5439,2.1722,1.9484,0.6,0.0053,0.8261,0.5959,0.7986,0.3318,0.2781,0.3549
"MCAR","10%",75,"CP","M",0.96,0.01,0.04,0.93,0.97,0.88,0.94,0.93,0,0.71,0
"MCAR","10%",75,"CP","CM",0.95,0.92,0.89,0.89,0.95,0.93,0.93,0.93,0.96,0.98,0.9
"MCAR","10%",75,"Length","M",0.4522,2.5055,2.5715,0.5501,0.0059,0.6919,0.5136,0.7036,0.6377,0.5599,0.9025
"MCAR","10%",75,"Length","CM",0.4573,1.7462,1.5491,0.4964,0.0042,0.736,0.5244,0.6919,0.2606,0.2227,0.2725
"MCAR","10%",100,"CP","M",0.92,0,0.01,0.94,0.91,0.86,0.9,0.91,0,0.57,0
"MCAR","10%",100,"CP","CM",0.91,0.9,0.9,0.93,0.91,0.88,0.9,0.95,0.95,0.95,0.95
"MCAR","10%",100,"Length","M",0.3917,2.1869,2.2077,0.4742,0.0051,0.5866,0.4339,0.6064,0.5159,0.4664,0.7428
"MCAR","10%",100,"Length","CM",0.388,1.5055,1.3272,0.4312,0.0037,0.6221,0.445,0.5835,0.2134,0.1838,0.227
"MCAR","30%",25,"CP","M",0.84,0.45,0.56,0.93,0.96,0.61,0.82,0.83,0.92,1,0.01
"MCAR","30%",25,"CP","CM",0.93,0.94,0.92,0.95,0.94,0.91,0.92,0.92,0.95,0.98,0.93
"MCAR","30%",25,"Length","M",1.4096,54.7813,48.7994,1.095,0.0148,1.0412,0.7907,1.1087,4.1973,1.4581,1.8769
"MCAR","30%",25,"Length","CM",0.7565,4.702,4.5357,0.8683,0.0081,1.1837,0.8552,1.1555,0.6876,0.4706,0.6061
"MCAR","30%",50,"CP","M",0.58,0,0,0.93,0.99,0.24,0.83,0.88,0.98,1,0
"MCAR","30%",50,"CP","CM",0.93,0.95,0.93,0.94,0.95,0.91,0.91,0.93,0.96,1,0.99
"MCAR","30%",50,"Length","M",0.4718,8.9525,9.0567,0.6724,0.0077,0.5148,0.4716,0.8106,0.5881,0.6224,1.1721
"MCAR","30%",50,"Length","CM",0.5503,3.1549,3.0265,0.5927,0.0054,0.8486,0.5968,0.7875,0.3682,0.2931,0.3535
"MCAR","30%",75,"CP","M",0.62,0,0,0.94,0.94,0.18,0.89,0.93,0.92,1,0
"MCAR","30%",75,"CP","CM",0.96,0.94,0.9,0.86,0.94,0.89,0.92,0.93,0.94,0.97,0.86
"MCAR","30%",75,"Length","M",0.3923,6.8528,7.0883,0.5611,0.0063,0.4465,0.4159,0.7033,0.4656,0.5004,0.924
"MCAR","30%",75,"Length","CM",0.4585,2.4696,2.3716,0.4952,0.0044,0.7385,0.519,0.6914,0.289,0.2294,0.2732
"MCAR","30%",100,"CP","M",0.5,0,0,0.92,0.9,0.12,0.85,0.92,0.84,0.99,0
"MCAR","30%",100,"CP","CM",0.91,0.92,0.92,0.96,0.92,0.88,0.89,0.95,0.94,0.9,0.91
"MCAR","30%",100,"Length","M",0.3409,5.7709,6.067,0.4806,0.0054,0.3732,0.3528,0.5968,0.3904,0.4015,0.7467
"MCAR","30%",100,"Length","CM",0.3926,2.1538,2.0481,0.4303,0.0038,0.6193,0.4435,0.5827,0.2395,0.187,0.2236
"MCAR","50%",25,"CP","M",0.39,0.79,0.79,0.9,0.99,0.25,0.67,0.78,0.92,0.99,0
"MCAR","50%",25,"CP","CM",0.88,0.97,0.95,0.92,0.9,0.86,0.82,0.88,0.93,0.99,0.96
"MCAR","50%",25,"Length","M",1.3034,223.3072,124.9689,1.2032,0.0181,0.7085,0.6025,1.1127,7.1332,1.4375,1.8743
"MCAR","50%",25,"Length","CM",0.8233,9.9088,8.2709,0.8881,0.0085,1.3145,0.8596,1.1246,1.4573,0.598,0.613
"MCAR","50%",50,"CP","M",0.01,0.59,0.59,0.95,0.93,0.31,0.79,0.95,0.7,0.96,0
"MCAR","50%",50,"CP","CM",0.99,0.93,0.96,0.95,0.97,0.92,0.92,0.95,0.88,1,0.89
"MCAR","50%",50,"Length","M",1.1231,190.101,109.0966,0.9788,0.0146,0.707,0.4977,0.8195,4.2069,0.9681,1.2088
"MCAR","50%",50,"Length","CM",0.6136,15.247,12.0735,0.6938,0.0071,1.1229,0.6623,0.8471,0.7726,0.4099,0.3956
"MCAR","50%",75,"CP","M",0.02,0.47,0.47,0.98,0.98,0.03,0.59,0.83,0.54,0.81,0
"MCAR","50%",75,"CP","CM",0.95,0.93,0.9,0.96,0.93,0.94,0.88,0.88,0.98,0.97,0.91
"MCAR","50%",75,"Length","M",0.7634,132.4018,75.0536,0.7325,0.0104,0.3849,0.3491,0.6847,1.5615,0.5719,0.9482
"MCAR","50%",75,"Length","CM",0.4811,6.5616,5.3662,0.5216,0.0049,0.8088,0.5234,0.6937,0.3938,0.262,0.278
"MCAR","50%",100,"CP","M",0.01,0.19,0.19,0.95,0.99,0,0.56,0.89,0.23,0.47,0
"MCAR","50%",100,"CP","CM",0.92,0.9,0.91,0.92,0.92,0.89,0.91,0.94,0.93,0.93,0.9
"MCAR","50%",100,"Length","M",0.4221,63.5553,36.4514,0.5359,0.0067,0.2299,0.2604,0.6035,0.5752,0.3678,0.7864
"MCAR","50%",100,"Length","CM",0.4107,6.3304,4.9368,0.4469,0.0043,0.6988,0.4495,0.5795,0.358,0.2301,0.2367
